,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoline_type,price,emi_per_month,zero_downpayment,city,state
3990,Maruti Swift,Maruti,VDI ,2017,Manual,23547,1,Diesel,88699,95,Zero downpayment,Pune,Maharashtra
3991,Maruti Vitara Brezza,Maruti,ZDI PLUS ,2018,Manual,65640,1,Diesel,74399,451,Zero downpayment,Pune,Maharashtra
3992,Maruti Vitara Brezza,Maruti,ZDI + AMT ,2018,Automatic,83103,1,Diesel,22599,523,Zero downpayment,Pune,Maharashtra
3993,Hyundai Grand i10,Hyundai,STA AT 1.2 KAPPA VTVT ,2015,Automatic,71423,1,Petrol,51799,50,Zero downpayment,Pune,Maharashtra
3994,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2019,Automatic,8635,1,Petrol,40699,150,Zero downpayment,Pune,Maharashtra
3995,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2019,Automatic,34642,1,Petrol,60799,597,Zero downpayment,Pune,Maharashtra
3996,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2018,Manual,9646,1,Petrol,7299,285,Zero downpayment,Pune,Maharashtra
3997,Hyundai Grand i10,Hyundai,Sportz(O) 1.2 MT ,2017,Manual,30242,1,Petrol,39199,994,Zero downpayment,Pune,Maharashtra
3998,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2019,Automatic,22773,1,Petrol,91799,62,Zero downpayment,Pune,Maharashtra
3999,Maruti Swift,Maruti,VDI OPT ,2017,Manual,53245,2,Diesel,59399,668,Zero downpayment,Pune,Maharashtra
4000,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,31133,2,Petrol,4999,9,Zero downpayment,Pune,Maharashtra
4001,Tata Tiago,Tata,XZ+ 1.2 Revotron ,2020,Manual,7628,1,Petrol,89399,335,Zero downpayment,Pune,Maharashtra
4002,Maruti Swift Dzire,Maruti,VDI BS IV ,2013,Manual,74594,1,Diesel,74699,559,Zero downpayment,Pune,Maharashtra
4003,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2018,Automatic,44705,1,Petrol,47999,88,Zero downpayment,Pune,Maharashtra
4004,Hyundai Grand i10,Hyundai,STA AT 1.2 KAPPA VTVT ,2015,Automatic,27641,3,Petrol,31499,598,Zero downpayment,Pune,Maharashtra
4005,Renault Kwid,Renault,RXT 1.0 EASY-R AT OPTION ,2018,Automatic,34297,1,Petrol,58699,204,Zero downpayment,Pune,Maharashtra
4006,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2017,Manual,12223,1,Petrol,76999,835,Zero downpayment,Pune,Maharashtra
4007,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2015,Manual,34095,2,Petrol,59299,217,Zero downpayment,Pune,Maharashtra
4008,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,17364,1,Petrol,41999,56,Zero downpayment,Pune,Maharashtra
4009,Maruti Swift,Maruti,VXI ,2014,Manual,37288,1,Petrol,35499,687,Zero downpayment,Pune,Maharashtra
4010,Maruti Wagon R 1.0,Maruti,LXI ,2015,Manual,23397,1,Petrol,49699,779,Zero downpayment,Pune,Maharashtra
4011,Maruti Celerio,Maruti,VXI ,2018,Manual,29458,1,Petrol,28199,749,Zero downpayment,Pune,Maharashtra
4012,Honda Jazz,Honda,1.2 V MT ,2017,Manual,15010,1,Petrol,13999,658,Zero downpayment,Pune,Maharashtra
4013,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,56615,2,Diesel,38699,656,Zero downpayment,Pune,Maharashtra
4014,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,24234,1,Petrol,96599,47,Zero downpayment,Pune,Maharashtra
4015,Maruti Wagon R 1.0,Maruti,VXI AMT ,2016,Automatic,32658,1,Petrol,79399,664,Zero downpayment,Pune,Maharashtra
